Year,GCAG,GISTEMP,emission
1.950000000000000000e+03,-1.615999999999999936e-01,-1.799999999999999933e-01,2838252
1.951000000000000000e+03,-1.319999999999999993e-02,-7.000000000000000666e-02,2955038
1.952000000000000000e+03,2.479999999999999913e-02,1.000000000000000021e-02,2976185
1.953000000000000000e+03,9.520000000000000684e-02,8.000000000000000167e-02,3022454
1.954000000000000000e+03,-1.165000000000000063e-01,-1.300000000000000044e-01,3059886
1.955000000000000000e+03,-1.353999999999999926e-01,-1.499999999999999944e-01,3230264
1.956000000000000000e+03,-1.990000000000000102e-01,-2.000000000000000111e-01,3357089
1.957000000000000000e+03,4.880000000000000310e-02,4.000000000000000083e-02,3422928
1.958000000000000000e+03,1.095000000000000001e-01,7.000000000000000666e-02,3490842
1.959000000000000000e+03,5.960000000000000020e-02,2.999999999999999889e-02,3607093
1.960000000000000000e+03,2.040000000000000147e-02,-2.000000000000000042e-02,3732643
1.961000000000000000e+03,7.749999999999999944e-02,5.000000000000000278e-02,3731082
1.962000000000000000e+03,8.880000000000000393e-02,2.999999999999999889e-02,3818588
1.963000000000000000e+03,1.068000000000000060e-01,5.999999999999999778e-02,3964441
1.964000000000000000e+03,-1.494999999999999940e-01,-2.000000000000000111e-01,4101719
1.965000000000000000e+03,-7.799999999999999989e-02,-1.000000000000000056e-01,4234765
1.966000000000000000e+03,-2.270000000000000143e-02,-5.000000000000000278e-02,4370162
1.967000000000000000e+03,-1.310000000000000053e-02,-2.000000000000000042e-02,4465946
1.968000000000000000e+03,-2.960000000000000131e-02,-7.000000000000000666e-02,4641374
1.969000000000000000e+03,9.289999999999999647e-02,7.000000000000000666e-02,4869613
1.970000000000000000e+03,3.719999999999999696e-02,2.000000000000000042e-02,5170394
1.971000000000000000e+03,-7.829999999999999460e-02,-8.999999999999999667e-02,5328580
1.972000000000000000e+03,2.639999999999999986e-02,1.000000000000000021e-02,5523714
1.973000000000000000e+03,1.640999999999999959e-01,1.499999999999999944e-01,5750259
1.974000000000000000e+03,-7.190000000000000557e-02,-7.000000000000000666e-02,5740553
1.975000000000000000e+03,3.399999999999999811e-03,-2.000000000000000042e-02,5746436
1.976000000000000000e+03,-7.920000000000000651e-02,-1.100000000000000006e-01,5994352
1.977000000000000000e+03,1.978000000000000036e-01,1.799999999999999933e-01,6126788
1.978000000000000000e+03,1.122999999999999970e-01,7.000000000000000666e-02,6310796
1.979000000000000000e+03,2.273000000000000020e-01,1.700000000000000122e-01,6449151
1.980000000000000000e+03,2.636999999999999900e-01,2.700000000000000178e-01,6430478
1.981000000000000000e+03,2.998999999999999999e-01,3.300000000000000155e-01,6298104
1.982000000000000000e+03,1.814999999999999947e-01,1.300000000000000044e-01,6272387
1.983000000000000000e+03,3.411000000000000143e-01,2.999999999999999889e-01,6325919
1.984000000000000000e+03,1.489999999999999936e-01,1.499999999999999944e-01,6478085
1.985000000000000000e+03,1.342000000000000137e-01,1.199999999999999956e-01,6668104
1.986000000000000000e+03,2.295999999999999985e-01,1.900000000000000022e-01,6743136
1.987000000000000000e+03,3.695999999999999841e-01,3.300000000000000155e-01,6937037
1.988000000000000000e+03,3.756999999999999784e-01,4.099999999999999756e-01,7156244
1.989000000000000000e+03,2.969999999999999862e-01,2.899999999999999800e-01,7247831
1.990000000000000000e+03,4.328000000000000180e-01,4.400000000000000022e-01,7090353
1.991000000000000000e+03,4.055000000000000271e-01,4.299999999999999933e-01,7256193
1.992000000000000000e+03,2.570999999999999952e-01,2.300000000000000100e-01,7248825
1.993000000000000000e+03,2.852999999999999980e-01,2.399999999999999911e-01,7321207
1.994000000000000000e+03,3.408999999999999808e-01,3.200000000000000067e-01,7354082
1.995000000000000000e+03,4.576999999999999957e-01,4.600000000000000200e-01,7486392
1.996000000000000000e+03,3.227999999999999758e-01,3.499999999999999778e-01,7666383
1.997000000000000000e+03,5.187000000000000499e-01,4.799999999999999822e-01,7700644
1.998000000000000000e+03,6.343999999999999639e-01,6.400000000000000133e-01,7681855
1.999000000000000000e+03,4.437999999999999723e-01,4.199999999999999845e-01,7793166
2.000000000000000000e+03,4.262000000000000233e-01,4.199999999999999845e-01,7996929
2.001000000000000000e+03,5.473000000000000087e-01,5.500000000000000444e-01,8063486
2.002000000000000000e+03,6.022999999999999465e-01,6.300000000000000044e-01,8221888
2.003000000000000000e+03,6.133999999999999453e-01,6.199999999999999956e-01,8581363
2.004000000000000000e+03,5.783000000000000362e-01,5.500000000000000444e-01,8927127
2.005000000000000000e+03,6.584999999999999742e-01,6.899999999999999467e-01,9187462
2.006000000000000000e+03,6.125000000000000444e-01,6.300000000000000044e-01,9463559
2.007000000000000000e+03,6.099999999999999867e-01,6.600000000000000311e-01,9705374
2.008000000000000000e+03,5.419000000000000483e-01,5.400000000000000355e-01,9950911
2.009000000000000000e+03,6.367000000000000437e-01,6.400000000000000133e-01,9881249
2.010000000000000000e+03,7.014000000000000234e-01,7.099999999999999645e-01,10320998
2.011000000000000000e+03,5.787999999999999812e-01,5.999999999999999778e-01,10676099
2.012000000000000000e+03,6.239999999999999991e-01,6.300000000000000044e-01,10855109
2.013000000000000000e+03,6.679000000000000492e-01,6.500000000000000222e-01,10894381
2.014000000000000000e+03,7.408000000000000140e-01,7.399999999999999911e-01,10979639
2.015000000000000000e+03,8.998000000000000442e-01,8.699999999999999956e-01,8683214
2.016000000000000000e+03,9.363000000000000211e-01,9.899999999999999911e-01,8757912
2.017000000000000000e+03,6.536109994711800653e-01,6.650079323109459040e-01,8832606
2.018000000000000000e+03,6.650249175291484960e-01,6.771587217647478951e-01,8907313
2.019000000000000000e+03,6.764388355871169267e-01,6.893095112185534390e-01,8982105
2.020000000000000000e+03,6.878527536450853574e-01,7.014603006723554302e-01,9056926
2.021000000000000000e+03,6.992666717030537882e-01,7.136110901261609740e-01,9131752
2.022000000000000000e+03,7.106805897610222189e-01,7.257618795799629652e-01,9206567
2.023000000000000000e+03,7.220945078189906496e-01,7.379126690337685091e-01,9281392
2.024000000000000000e+03,7.335084258769590804e-01,7.500634584875705002e-01,9356207
2.025000000000000000e+03,7.449223439349275111e-01,7.622142479413760441e-01,9431036
2.026000000000000000e+03,7.563362619928994945e-01,7.743650373951780352e-01,9505863
2.027000000000000000e+03,7.677501800508679253e-01,7.865158268489835791e-01,9580680
2.028000000000000000e+03,7.791640981088363560e-01,7.986666163027855703e-01,9655503
2.029000000000000000e+03,7.905780161668047867e-01,8.108174057565911141e-01,9730325
2.030000000000000000e+03,8.019919342247732175e-01,8.229681952103931053e-01,9805144
2.031000000000000000e+03,8.134058522827416482e-01,8.351189846641986492e-01,9879971
2.032000000000000000e+03,8.248197703407100789e-01,8.472697741180006403e-01,9954795
2.033000000000000000e+03,8.362336883986785097e-01,8.594205635718061842e-01,10029612
2.034000000000000000e+03,8.476476064566469404e-01,8.715713530256081754e-01,10104446
2.035000000000000000e+03,8.590615245146189238e-01,8.837221424794137192e-01,10179261
2.036000000000000000e+03,8.704754425725873546e-01,8.958729319332157104e-01,10256345
2.037000000000000000e+03,8.818893606305557853e-01,9.080237213870212543e-01,10334139
2.038000000000000000e+03,8.933032786885242160e-01,9.201745108408232454e-01,10411920
2.039000000000000000e+03,9.047171967464926468e-01,9.323253002946287893e-01,10490118
2.040000000000000000e+03,9.161311148044610775e-01,9.444760897484307804e-01,10568356
2.041000000000000000e+03,9.275450328624295082e-01,9.566268792022363243e-01,10646616
2.042000000000000000e+03,9.389589509203979389e-01,9.687776686560383155e-01,10724862
2.043000000000000000e+03,9.503728689783663697e-01,9.809284581098438593e-01,10803108
2.044000000000000000e+03,9.617867870363383531e-01,9.930792475636458505e-01,10881355
2.045000000000000000e+03,9.732007050943067838e-01,1.005230037017451394e+00,10959606
2.046000000000000000e+03,9.846146231522752146e-01,1.017380826471253386e+00,11037862
2.047000000000000000e+03,9.960285412102436453e-01,1.029531615925058929e+00,11116107
2.048000000000000000e+03,1.007442459268212076e+00,1.041682405378860921e+00,11194348
2.049000000000000000e+03,1.018856377326180507e+00,1.053833194832662912e+00,11272609
2.050000000000000000e+03,1.030270295384148938e+00,1.065983984286468456e+00,11300027
